case_index,feature,shap_value,abs_shap,feature_value,expected_value
20,f1036,0.01601962586928408,0.01601962586928408,,0.508065863524093
20,f1037,-0.016019625869284054,0.016019625869284054,,0.508065863524093
20,f14,0.013344718125694363,0.013344718125694363,0.0,0.508065863524093
20,f15,-0.013344718125694315,0.013344718125694315,0.0,0.508065863524093
20,f2,0.012721735317442926,0.012721735317442926,1.2747164801235011,0.508065863524093
20,f3,-0.012721735317442908,0.012721735317442908,0.06128381076993062,0.508065863524093
20,f1634,0.012627463945820191,0.012627463945820191,,0.508065863524093
20,f1635,-0.012627463945820159,0.012627463945820159,,0.508065863524093
21,f12,0.02039620902684492,0.02039620902684492,-0.284362526703229,0.508065863524093
21,f13,-0.0203962090268449,0.0203962090268449,0.0,0.508065863524093
21,f1037,0.018480097380929993,0.018480097380929993,,0.508065863524093
21,f1036,-0.01848009738092995,0.01848009738092995,,0.508065863524093
21,f14,0.01817357560720395,0.01817357560720395,0.0,0.508065863524093
21,f15,-0.018173575607203913,0.018173575607203913,0.0,0.508065863524093
21,f7,0.01713513897424426,0.01713513897424426,-0.26825068247408207,0.508065863524093
21,f6,-0.01713513897424422,0.01713513897424422,-0.6719293705964003,0.508065863524093
21,f5,0.013894436801264103,0.013894436801264103,-0.07725365673568828,0.508065863524093
21,f4,-0.01389443680126407,0.01389443680126407,0.969813371073542,0.508065863524093
22,f15,0.037637987628126396,0.037637987628126396,0.0,0.508065863524093
22,f14,-0.037637987628126306,0.037637987628126306,0.0,0.508065863524093
22,f5,0.01765714574237944,0.01765714574237944,-0.07725365673568828,0.508065863524093
22,f4,-0.017657145742379393,0.017657145742379393,-0.10467129833302626,0.508065863524093
22,f12,0.016640866122311075,0.016640866122311075,0.4768117385309066,0.508065863524093
